id,username,target_payout,coin_address,txid
108,sakuramoto,264.0608916,Zcf4F2qmPgmzrXgm9Fyc4bR7hHkekKwGxc,17831ad558f1e636db9c180c39d67b77474c20373f630b742576a5d89449a2f2
79,Rolling,187.0210177,Zxu4iG2hBFNx6mdbT3j2DZer1MmwZAbSyn,b64d123ca5f89679115de48250baedbd0ed10cac2cf2cf83885cd1c9621632e1
1,Skumizu,175.9034675,ZuuWt6C72nu3fnq8uFaY4aqN7E2ojYG9VT,1bc7608218753d03e1dc8d5421b972f2ff15b10abc30b80f02e4ff7eb1f94f4f
3,kuthia,148.5160278,Zsu197Sm8SUYPfUF7r8bbUr4bzSvZDDuMt,b73916fb1cd702f0670fa74df5864e4709d3b9c3064ba97335a38982163562b4
84,narugi,136.2389581,ZpK3xwEgNCbnX6rfQYyS911VA29TgzUisW,377df6383cac42691e23712303b2005129a070e165c3e449404be9475d71ac82
38,Tzsyu,100.9071601,Zy36tBGu34UzmTCXvFWYt8akRr3aMZCQTd,b0214f61097a596def01430a55393c26a11e4fcc08fcabcf4106104bbebc9543
73,hw10020907,95.96857988,ZzSbt8e4rCzpQJb4GNYuttEmLyRTkpiVUj,303da9e2cfeba8c004d4c43d551a1db57b913367760ef099f471423d5304f071
45,chungkim,73.4988049,ZhaHdCXuAwys53TVHwYFd5ubbbDy4pNB2Q,b72bc176850aeb729743257de0d2ec5d7d6188f904be56398b60c06696438180
65,maybe10,43.15816211,Zoedet45ELr5qeSFES6dqHUPTVT9m4ZWea,98323e147bd2ed13d05f94cbf6d1d0b713b38f1c6b4ece2abd9774e78145311d
31,problem,41.54131859,ZgxehTffPiwfUFAuwjTQSRsxE37fKXY1iR,f1f421aedb9b51b6673a408a8582c97d52fa825086674d568c8ca5fc8da8fe52
63,ueeb,32.14581974,Zbbtwib1uS1FCWgWLbuvzztiSvepP1Hv2i,344a0f3dca34b0bdeadd7f351dc5aeda80468e676fc32a21e0596afed26b47f1
112,schnaoozer,25.65898442,ZtHqXNfoARfXoMAd8m8AfVuEePFWzhr18M,78edb63dc959cfd9b0b144b8f4c03436236584c87ad39c5bb19be03929f9abeb
17,gpfwhtjs,23.73982723,Zv2a14Rzqidvn59o5ddiYsSyTHkkHs6fp3,5bcadd3942af535173b71d116e92a6a08f93514d3a0e82aeef34ffeaab4febb1
44,penistum,23.36658125,ZdK6mnoW739m6C8kS39Wj7A7x64k8AFi6k,2d78126e1c6267438d963204531a2f40fb1519ec7f5fe1992625eeb436229a50
18,utahime,23.33870636,ZdR9TH3UM2UFJ7KGQ7gxKD9eBfu5Cgc2w8,edc7b9a13f09793ac4ed7d9551d72bfc0493faf8fd48de5989a5b2c9eb5f705d
85,verygood113,22.38976828,ZwJVr9b5qFkdeYh1nA55kzCbijM8ZuXBwm,79487910139ba7738a4f2b8e91dd569c7b771297de32d0535ee0b544aae6f208
94,kwon,20.87520276,Zy8pbb1kXFVUksZMYAerQiNTGJtS8Rmrc6,40eb6f3354baf06dd4f150fdd001c33607f21e648d0ba9d4b8a7d0615395c188
27,Detonator,17.51647046,ZeBbiNPY4SiRdnJjKbxuSgyzHvLZ414ofk,dfa78f003d0dd2b3c7888d0715a9d3050c7db3aa8482f8af9b08e8596c79f9af
28,Gonang2,16.49389413,Zc6SsBAv8Jh2nJUrJ8XNRztDDkVTi4hdVK,2d298b84456567c6a1ca69836aae6069243c0351f3d271adb9b42634e92b4181
29,mingdo,15.75176004,Zohi3F9N8FaQ8fLSEU5kcQ7GAuBhTxMEJi,56b66dac3fe1c24e7290e188131c49d8bdb93c8ba13079645fdc946c27fc154f
32,songhoon03,15.04316168,ZqFuyyuSgBsv3Vod2jAgqJBd4nQvShekkV,e7eb805bc31324399c168831e6fa9af01779f9d03bd294d3db0599e3b5ebb953
15,onetimenosee,11.95957044,ZtZ4DrcMSEDyK9j3Tn9qUnnRbv5k8zdfb4,ba7270cc9ba0a5e0d9447c66739d1c88e6f63ef9472ea674d4b73e4c3346f724
57,lawerchoi,9.55965381,Ztk255YovWGCJwHwn4XxvPfCjBozgsWXUL,bfb1a754a054c676f7f1fc626a0703ea85035038ef99b9455701865df1b51a0b
36,hajoki,9.01627973,ZuxWF8sid62193Ljn9uJTi2Baq6UyAS6kS,b58be40c30f7df6ba241c2c036d5589273143f161b332fbfb7c27d3a012abbf0
58,dnsrlfsla,8.99599169,ZrMpq8kvNXhTcEUfGL92guk3KfqRExRVJe,c28b150da2fe5a670116bc7275e75f7b7c286070203c30b3d1705eb5da209671
67,paper2k,8.03239829,Zbb3zgP4aVu8SX1hN8vyayGHMNKzc1LHoz,76c09e64419f67baa4ebe8e7a7c86adf03bd9338b11eb2626a6d4d08007253df
89,sonna,7.15003344,ZpQ7pS6DudtD87DAMWvhb9ShJfjoP4AY4F,9523f151593ffa11e788d6ff293b0ad64e15e6c8af297d5e32607abe3ff9f6b1
49,rhqjarhs1,6.86586096,ZiNhnmtjggnfJyeBh2CHq4SHJhpuAkDQLA,980a07859394fe0d7703f72c114b789c754cc3f630b8aa81bfbb18721cff6bb6
74,osh322,6.84094898,ZrGBQYnQ7Hgie4u6iQxjE3EH15te1jqncm,5e9686ddc59dbcb090e3e3d5d44d81ce1e859169bf2f0a08c121514c9c2f9e61
54,Hassan,6.72567998,ZqijvYwn2kuuvjVHQ9T3X3r7CXRHVnBDZB,dcf3338beccb92b2fc23fb3bc4daed8db8b046c14844201ea6eaeaef2c9cb246
80,aitia789,5.70716728,ZfDbZhaWWGAm5zLeuUYvv1PrDBErHmqaUr,bbcaa56a7e980137552fff0361c0d14f66460ae153f009f93dca7640a322b4ec
90,etang224,4.89960075,ZdBHHYJAatEbgY7bXkbWfPLQuJCw9qDWjU,6771f90f7a7dfa24b859dbe3e0904319fa5dc09c8a2eab2899ba4d8e9843dbd3
62,tunamayobitzeny,4.1654629,Zgum7iTL2VwjXs9eGV8pHC69WTuaBbzukX,1850808dac1e56f69d3a26808da8c9485c71b59338dc3d3844108f9e6c245e4f
69,memotan,3.5375167,ZpQLhV9HV4Bn1WhQ6D66Mf75byaQBb9SX5,2b391286c8e8dc9c5c4f6f51c6937ad00c656c28481dab1bba1d08ab31d9054a
101,snack,2.97443897,ZuFjQUQwpydWuF94HRP2MbcaBUxtGjPPiL,9484f21f57e422da7f4edb3c9296c17f2e0b407ab1cf1e5a2879de51bf19fbec
34,origt,2.70297326,Zweywx73M6WvkUpg84zhrTmSHrp7Fe9JzR,44770d3c4f275070239614897b3d85754bf39c1fdabd83e606b33da47733c0e7
37,NastyLife,2.63348664,ZjZtk4cA3i7U3X8o147FfCDWodjof5G7qd,20fbac1e589cb8cce996dfc203b64e9f30ef918d2932e43dbb37def18646635d
71,evan5150,2.36970089,ZeL9YT3VcfLunXxVhvq6bbQaEda4CfT6Hq,c598e057ac4d465b4f68a72849e698c1648338f7a1d72c0cc4d1463a368d1182
76,df5357d,2.28453196,Zd4zEFZN6ZUuZeqXMu1JAtEiZoFxTwCBUx,3593cc79ed357f1650b0cc2189f7b9d2303bbc52272e2467106f9719e42f78c2
42,LuckyJames777,1.59960397,ZzZXoioaGkFFzKZ3CVHdmCKVj9BoeLzx19,fe168bc07e7efdbda03747c3b3bfcbb7a004d46d0d9ee95eac5a814b19eb0bc8
72,is1225,1.49414751,ZvRVx1CKv7XNHhHiDbCqMxQJPe1GzKWk3t,838370a186cbfc76a92f5755b5dfdc2c89d7c26e5dd2b710d5cb27d827acf155
99,Takitus,1.48841784,Zt46taSg1PoMD5eEV6oVe5eUh7aKe6YWZQ,7459dd41cfe3165b2e80fae380959f5943f97a661c71fa60c0ce51aa7523e260
33,qwec,1.42017625,Zu4TFvBrdop5SCEN1WZnTfHQLfMW3q3g4G,b83f92b26fed7712d82879abab15791fd86e664ff41ce5ed0ffbf5ff73181d3b
9,goskse,1.02710015,ZfoCZzbUKzXt31PtXtuMrCGmUUgaXm2NeL,bbb2fb25738c141b34446bb45ea1c537cfc71088239ae44ef2a500002b5a5240
114,ohmyshoulder,0.95947659,Zik8deAVzwoMXjwj7vGsY3qeXGEUsq4r5H,31c64e985f3a2f6d355a99a0473ba0c21e2a6e71f67db5ff6922312206bf08e1
43,mikoto,0.89279146,ZxpP2V7qQ2sVz5sHMv4WDySaZSJ5U1tZqm,dfeb1aa8a801706c814e227f7eb3eff6f1e2b042e925a50b5c58eab9d77b3dd9
87,akcotn84,0.81896517,ZeoQwnjyGfQKDQWHBxWJ2qWNCQRNfvFo5J,1d4d07bc8f8336d471ea0df80744038b26dd0ccfe853aab5a278160cbf25dfad
98,kans23,0.70495878,ZugVqaUkX2qadeVnqsNBx83aGzGbFFBTd7,df36ba11965ffb1246996e20f1bd54754193398ac684061dac4e2c23457fc4ba
19,dengpu,0.65278703,ZnBFEo2NFvnJ1UhmxTafBgvpWpbW7qnqFy,c015d4b0ec29e4c43b143e9c8a36d737a31d0514d74a56bac37a96d1ddc079e8
52,chrisg,0.59982754,ZhALZUXyZ8kCRNW21J9LNnxXjaKyGzCXZx,562e233bae189c9d39309e7abb774eaf27905bf8e2f77b5f341f4c86844d2110
60,Akiyama_Mio,0.43973095,ZqVR6garMMWeLqfzf6T3hmfdZwJ621gVpV,db14a39b9c9866b57e33b00655513da5ebb45f610cd28b4559990652601c6211
97,nanachi,0.42592148,ZgXw9itiisHhtwy1vamu5Z1EEWaXVdGh7H,7885a2bc3469df19a4791de5aa8f891c73a42327bbe1d0e3f4920a4529c45fa9
23,phs0458,0.41567253,ZwH3QM266jooEKQ8SnM3gifMBHehTUtWSX,c4de0336a897bc9360320e66015a1d05806aa2101ffe87ce2e05119c9c18c49c
39,blackdan7,0.41402367,Zn776riJoAwDS67KoW5ScNDzHVZqZfwsbq,a88a69dace3cf661f916d730035b93345d1352839b00f44aad6b5b0da201d24d
51,elljiv,0.35390219,ZkSEHiSboZLnEJbvj63Nvs85EhNdShWk7K,0caa3c81e777c3f0a0cb565be1a83d29902d984b802832f3728409bb6ca1e593
104,bj1389,0.31901569,ZzAZYFkAEQe5KUfxRoFfSiUbVmT1uJmmyr,3d2c2f37b90d7d023ae95e1b8c209d7dc7b4f4ce9aaefaad42cbbd6d537f9356
83,eisfischerei,0.29698271,ZvtZwMUUteff1dwchSuq9eDFPSRriW2mVC,7a720cae12a7f8b56464401fb694a201a0e5f31d6f07bd679a7e39c431ba08f6
61,ukkey3,0.26972281,ZjrVDJj4twTfnuqET2ELifjk5pgjh2E39D,fcf0baa95152ecf69422f0e542fd88deab68132d5afc8845bf5d74e5031daff7
6,jyj95102,0.25790857,ZwZDUNyCwHSwMxEznxRPCAmPS43BU21HZs,3f73416348ecfe45d1c418eba014208434dd494db3f5b6f1f75e876a89d3ad11
102,manare,0.11293812,ZewkBPtSGE1VFsSN3tiVVwUsb14ES2qVeK,ff3a25d7957e8278a12e56eaa3e0156bbf9afec0effc6ec5a2c8f3ffebf45710
88,bitfl,0.10901817,ZfqpPtHTdU1LcipVcAjPa211EqhXCU6npi,7177025f5b190bc5db6ae7319eea490712dfce5ec7310c12b8f17ed2b036023e
13,crashace,0.08720931,ZtyWB6eHJgVs3D9wXhwFmq44h7sHKbbCDE,005c174085ba3f6a9c0295a806bc8579549c1f861c34911b2580fb32262d68ce
10,gazua,0.06255262,ZeupssSYDrKCF7P7st1ySAGVYD2PhnLooS,e7b2a080c490c8787232cb37af2413d150dc615af20e4cfc8bebea0026be53d0
30,haeso,0.04905163,ZzGxPxwUiQj4DyRViPBnaJDTmgHdEe16Y7,9aa694ae5424b520edfb9b76a1c95a73e487165c7c39abd857ff4f16c624f740
53,rhywj0204,0.04198853,ZmXtANRXYiivFxU7KjG2L89duH2K1ptsqN,17f9d09bf0f42533f0475379977a58cd06c5e3add4d3f51c824630de711dd7dc
109,preurediti,0.02707436,ZkyKgSExybLTDnDbbqkjP4rSawYTLvrbu2,68e512ca4cbbd6dbcdeef22907626e020c646f44b164503b636d752db420be93
70,sksmsdi123,0.02481113,ZqsqtU5py25n1JdiF19WtyLZiTaUkw9pet,cd6ce7022a7f01812603724f08b1cbbceab07d0051fd503ee8da1c1935c7a4ec
105,vschan,0.01597137,ZinGTni69y8KwXrpkfMquFeyRiyhv8ejts,763a3bcc08e4bf3267a661482ef7597a8c0f68800657005005ff3418833157ec
50,hanbin,0.00896732,ZdJa6hjzXJfr8PoEzdnYsfDYfFL4uT2g6j,cdd540081b44d0e4408211a709b20429d661feeb6d25662fea101ef4ae289be7
56,lga9021,0.00723594,ZeVQs4CEPkEpTPA9r3AG3rwRKF7kpWDa9N,589990e43daa3a859ffd6d3c34288538410cc2392fe963469ca3aa4199b97baa
78,gudgogi,0.00579887,ZetiEgbnHTLLMxJMGWU7152XYLdyNczuNn,a1d06d5233d082e9230c8b1504ebadc3e5c374b0cbf4f776ae8cbd8a84e6cca5
81,oshidorixxx,0.00087329,ZweapqpkxjregHRtgYWEnK2wo5BRzEhzDL,9b7f5449fc307b00fe453ad41a214daba6fe501c6cc91b5d6d7a10d84e4b45d0
21,gkstktls0,0.00066259,ZhRPUCqR5Yg6ik1yimJWoqbGG5KqkHGsTg,119c4b49aa29938e7573be9ebe92908219e8d98107ec0590de0c51eb3da6dba9
25,kimhogu,0.00011754,ZwRAh9rnwsrvuPUR2Cn12caG4hVaxGPTy9,183d0296e9e6256c58ec95c5be83e1d111e9a947cf232d79ce6022c7d98fce32
remain,Pool,528.470616,ZuuWt6C72nu3fnq8uFaY4aqN7E2ojYG9VT,2a1bbb8654010ef9e6fd864d8885a60a1d33b5c21af7ad0ce31228e40a84aaac
